"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Central Valley Meat Co. Inc.","05/23/2024","12/31/2024"
"Betterdoor.com","07/30/2023","12/31/2024"
"LA Financial Federal Credit Union ","06/10/2024","12/30/2024"
"LA Financial Federal Credit Union ","07/18/2024","12/30/2024"
"Norwalk La Mirada Unified School District","","12/27/2024"
"Tahoe Truckee Sierra Disposal Co Inc","09/13/2024","12/27/2024"
"HRB Tax Group, Inc.","05/13/2024","12/27/2024"
"DAP Health","07/08/2024","12/26/2024"
"American Addiction Centers, Inc.","09/23/2024, 09/24/2024, 09/25/2024, 09/26/2024","12/23/2024"
"Akumin, Inc. ","10/11/2023","12/23/2024"
"Access TeleCare","11/06/2023, 01/08/2024","12/23/2024"
"Norwex USA, Inc. ","","12/23/2024"
"True World Holdings LLC","08/23/2024","12/23/2024"
"California Correctional Health Care Services ","11/05/2024","12/23/2024"
"DBM Global Inc. ","11/12/2024","12/23/2024"
"Self Esteem Brands, LLC","12/19/2023, 06/06/2024","12/20/2024"
"LCPtracker, Inc.","08/14/2024","12/20/2024"
"Alta Resources Corp.","11/18/2023","12/20/2024"
"International Coffee & Tea, LLC","04/05/2024","12/19/2024"
"Illinois Bone & Joint Institute, LLC (“IBJI”)","05/30/2024","12/19/2024"
"Ascension Health","02/29/2024, 06/11/2024","12/19/2024"
"Natomas Unified School District","06/26/2024","12/18/2024"
"Keeco, LLC","03/28/2024, 05/19/2024","12/17/2024"
"Regional Care, Inc.","09/13/2024, 09/18/2024","12/16/2024"
"ConnectOnCall.com, LLC","02/16/2024","12/13/2024"
"Certified Employment Screening Inc. dba Americhek","09/26/2024","12/13/2024"
"Young Life","06/13/2024, 06/14/2024","12/12/2024"
"Byte Federal Inc. ","09/30/2024","12/11/2024"
"Martin Sprocket & Gear, Inc.","07/29/2024","12/10/2024"
"Infosys McCamish Systems LLC","10/29/2023","12/10/2024"
"Sabre GLBL Inc.","07/04/2022","12/09/2024"
"Amergis Healthcare Staffing, Inc.","02/06/2024","12/08/2024"
"Orthopedics Rhode Island, Inc.","09/04/2024, 09/08/2024","12/06/2024"
"ABC Legal Services, Inc.","08/07/2024","12/06/2024"
"Highgate Hotels, L.P.","03/25/2024, 03/26/2024","12/06/2024"
"Acadia Pharmaceuticals Inc. ","10/24/2024, 10/29/2024, 10/30/2024, 11/04/2024","12/04/2024"
"Bob's Discount Furniture","09/25/2024","12/03/2024"
"LA Financial Federal Credit Union ","06/10/2024","12/03/2024"
"SAG-AFTRA Health Plan","09/17/2024, 09/18/2024","12/02/2024"
"Overseas Shipholding Group, Inc.","07/31/2024, 08/05/2024","12/02/2024"
